"Restricted stopping power for water
Temin(Mev), TCmin(MeV), TCmax(Mev), ndata
0.100000 1.000000 6000.000000 6000
====================================
energy		Sw		MW		Lw		b		range"
88	2090.87	0	2023.9521187277157	0.1878353827431805	0.03201806321673927
89	2072.24	0	2005.6852445048257	0.18425115359953234	0.03241114995908907
90	2053.96	0	1987.7151657973786	0.18130335861795774	0.0327753201833485
91	2036.02	0	1970.047505789099	0.17896319563358384	0.0331836349670302
92	2018.41	0	1952.6866369579877	0.1772004219516293	0.033548290296338226
93	2001.12	0	1935.6357512790933	0.17598353511047093	0.03397264846769024
94	1984.15	0	1918.8969304474485	0.17527995757091616	0.03433794576304175
95	1967.48	0	1902.4712157910892	0.17505622410045124	0.03477910751666738
96	1951.1	0	1886.358677589862	0.17527817050869288	0.035145203385263876
97	1935.01	0	1870.5584835257152	0.17591112223208313	0.03560387687496345
98	1919.19	0	1855.0689660283847	0.1769200816981997	0.03597092715202493
99	1903.65	0	1839.8876883027472	0.17826991289400365	0.036447771296000256
100	1888.38	0	1825.0115088416478	0.17992552198345507	0.03681593060202046
101	1873.36	0	1810.4366442594444	0.18185203280337006	0.03731155757083982
102	1858.61	0	1796.1587302956948	0.18401495593901057	0.03768097893292734
103	1844.1	0	1782.1728808592156	0.18638035042587417	0.038195956319964496
104	1829.83	0	1768.4737450040182	0.18891497724409542	0.03856679084734279
105	1815.81	0	1755.0555617481061	0.19158644350303308	0.0391016435299613
106	1802.01	0	1741.9122126506263	0.19436333678178547	0.039474040135008555
107	1788.45	0	1729.0372720988248	0.19721534896309104	0.04002925184093939
108	1775.1	0	1716.4240552468436	0.20011338887276936	0.04040335699833134
109	1761.97	0	1704.0656635800296	0.20302968382990763	0.04097937159643483
110	1749.05	0	1691.9550280881076	0.20593786933826358	0.0413553291340168
111	1736.33	0	1680.0849500281035	0.20881306703607566	0.04195255167172273
112	1723.82	0	1668.448139290517	0.21163195081847436	0.0423305025876842
113	1711.49	0	1657.0372503685737	0.21437280122776506	0.04294930009981227
114	1699.36	0	1645.8449159636798	0.21701554845932855	0.043329382401580525
115	1687.41	0	1634.863778248033	0.21954180375351814	0.04397008451656159
116	1675.63	0	1624.0865178200702	0.2219348800260779	0.044352433077575165
117	1664.03	0	1613.505880401942	0.22417980190297437	0.045015332448086205
118	1652.59	0	1603.1147013208554	0.22626330578829915	0.045400078879266434
119	1641.32	0	1592.9059278387633	0.2281738302159044	0.04608543146464485
120	1630.2	0	1582.8726393752386	0.22990149732400172	0.0464727039979612
121	1619.21	0	1573.0080657047517	0.23143808576671399	0.047180729225826355
122	1608.37	0	1563.3056031726176	0.23277699631795645	0.04757065260785798
123	1597.67	0	1553.7588290353413	0.233913209761164	0.04830153344224956
124	1587.12	0	1544.361513947403	0.2348432387570728	0.04869422883608899
125	1576.71	0	1535.1076327320388	0.23556507380781647	0.04944811177888546
126	1566.45	0	1525.9913734490026	0.23607812346063645	0.04984369667311655
127	1556.32	0	1517.007144886848	0.2363831510414676	0.050620691725023724
128	1546.33	0	1508.1495825369377	0.23648220646249388	0.05101927984884281
129	1536.48	0	1499.4135531262311	0.23637855502188992	0.051819460455350706
130	1526.76	0	1490.7941578001826	0.23607660374104297	0.05222116169919064
131	1517.17	0	1482.2867340312725	0.23558182488923093	0.053044564706078365
132	1507.71	0	1473.8868563237113	0.23490067813199914	0.05344948504734614
133	1498.38	0	1465.5903358095684	0.23404053149033824	0.05429611068919153
134	1489.18	0	1457.393218798808	0.2330095816509923	0.054704352122944847
135	1480.1	0	1449.2917843776488	0.23181677335477852	0.05557416406685868
136	1471.15	0	1441.2825411002568	0.2304717194863613	0.055985824541428
137	1462.32	0	1433.3622228920988	0.22898462135783562	0.05687875000697564
138	1453.61	0	1425.5277841874317	0.22736619000040995	0.05729392336469079
139	1445.01	0	1417.7763944259532	0.22562756810033255	0.05820985333928288
140	1436.53	0	1410.1054319130442	0.22378025341107	0.05862862926258707
141	1428.17	0	1402.5124771759952	0.22183602492529156	0.05956741883014556
142	1419.91	0	1394.9953058372082	0.21980686876186337	0.05998988279347992
143	1411.77	0	1387.551881065357	0.21770490773283024	0.06095135159217206
144	1403.73	0	1380.1803456975229	0.2155423337692732	0.06137758482008935
145	1395.81	0	1372.879014066268	0.21333134092234973	0.06236151764310612
146	1387.98	0	1365.646363572753	0.21108406188293713	0.06279159707512755
147	1380.26	0	1358.481026089288	0.20881250818476776	0.06379774462628152
148	1372.64	0	1351.3817792274122	0.20652851188664484	0.06423174288904535
149	1365.13	0	1344.3475375052105	0.20424366986342063	0.06525982270269214
150	1357.7	0	1337.3773434656343	0.20196929403479763	0.06569780808995852
151	1350.38	0	1330.4703588324269	0.1997163616693519	0.06674750562247282
152	1343.15	0	1323.6258556421856	0.19749546933785594	0.0671895420835488
153	1336.01	0	1316.84320749828	0.19531679161931675	0.06826051198097842
154	1328.96	0	1310.1218808986084	0.19319004190745356	0.068706659118109
155	1322	0	1303.461426729457	0.19112443863284206	0.06979852666223646
156	1315.12	0	1296.8614719291904	0.18912866954796714	0.07024883973747668
157	1308.33	0	1290.321711284306	0.18721086573192983	0.07136120246970305
158	1301.63	0	1283.8418995541201	0.18537857638833444	0.07181573242173939
159	1295	0	1277.421843730083	0.18363874455258336	0.0729481619418799
160	1288.45	0	1271.0613956246827	0.18199769055367918	0.07340695541321249
161	1281.99	0	1264.7604447055867	0.1804610957284718	0.07455899934735163
162	1275.59	0	1258.5189112410303	0.17903399083269722	0.0750220987221799
163	1269.27	0	1252.3367397419997	0.1777207470101722	0.07619328285148314
164	1263.03	0	1246.21389272919	0.1765250701025238	0.07666072630455972
165	1256.85	0	1240.150344819627	0.17544999768481062	0.07785055684427444
166	1250.74	0	1234.1460771487425	0.174497901666707	0.0783223784009064
167	1244.7	0	1228.2010721625827	0.17367049115960922	0.07953034441650363
168	1238.73	0	1222.3153087134851	0.17296881573207779	0.08000657402378807
169	1232.81	0	1216.4887574960837	0.1723932812381443	0.08123214996913955
170	1226.96	0	1210.7213769328478	0.17194365612746576	0.0817128135784244
171	1221.17	0	1205.0131092216263	0.1716190903606205	0.0829554619386597
172	1215.43	0	1199.3638769736076	0.1714181307839417	0.0834405815991197
173	1209.75	0	1193.7735799234401	0.17133873887065101	0.08469975561940274
174	1204.13	0	1188.2420922202211	0.17137831680900206	0.08518934958252067
175	1198.55	0	1182.7692598687265	0.17153372845982445	0.08646449606229194
176	1193.03	0	1177.3548986354313	0.17180132743182283	0.0869585788969336
177	1187.55	0	1171.9987921639995	0.17217698198737752	0.0882491410279576
178	1182.12	0	1166.7006904705863	0.17265610779861051	0.08874772374562968
179	1176.74	0	1161.4603087150995	0.173233695513261	0.0900531439715577
180	1171.4	0	1156.2773262435703	0.17390434543459724	0.09055623416134292
181	1166.26	0	1151.151385962369	0.17466229966587657	0.09187595703561513
182	1161.16	0	1146.0820939133025	0.17550147847091135	0.0923835590081876
183	1156.1	0	1141.0690191983344	0.17641551107848516	0.09371703402707172
184	1151.08	0	1136.11169400141	0.17739777518031213	0.09422914896711038
185	1146.1	0	1131.2096140360914	0.1784414331310425	0.09557583335488073
186	1141.16	0	1126.3622390179098	0.17953946653537675	0.09609245948112334
187	1136.26	0	1121.5689935113248	0.1806847105586596	0.09745182090441684
188	1131.4	0	1116.8292677736383	0.1818698981851997	0.09797295363652603
189	1126.58	0	1112.142419064151	0.18308769403015843	0.09934447282631273
190	1121.8	0	1107.5077728007118	0.1843307188419008	0.09987010495766889
191	1117.05	0	1102.924624048715	0.1855915965001832	0.1012532782174991
192	1112.35	0	1098.392239106089	0.18686299511326132	0.1017834000929834
193	1107.68	0	1093.9098573242416	0.18813764707026323	0.10317774167436061
194	1103.05	0	1089.4766927669325	0.18940837903562102	0.10371234137215524
195	1098.46	0	1085.0919362072038	0.1906681599395045	0.10511738569886477
196	1093.9	0	1080.754757152132	0.19191012415487005	0.1056564492152692
197	1089.38	0	1076.4643059083226	0.19312759525303533	0.10707175294038074
198	1084.9	0	1072.219715675572	0.194314115669512	0.10761526437662633
199	1080.45	0	1068.0201047390362	0.19546347939432188	0.10904040825819625
200	1076.04	0	1063.8645787131884	0.19656975431695817	0.10958835000823744
201	1071.67	0	1059.7522327642673	0.19762730598881686	0.11102294059133931
202	1067.33	0	1055.682153895221	0.19863080002579994	0.11157529352960467
203	1063.03	0	1051.6534229836532	0.19957524701393312	0.11301896462490309
204	1058.76	0	1047.6651173273026	0.20045602121813938	0.11357570829300606
205	1054.53	0	1043.7163126629148	0.2012688481409268	0.11502812224432796
206	1050.33	0	1039.8060853705083	0.2020098368806347	0.11558923503576371
207	1046.17	0	1035.933514622297	0.20267550155316694	0.11705008377126327
208	1042.04	0	1032.0976845981002	0.2032627520745857	0.11761554311315343
209	1037.94	0	1028.2976863410533	0.20376890241222698	0.11908454897680137
210	1033.88	0	1024.532619863024	0.20419169321005964	0.11965433150779085
211	1029.85	0	1020.8015960375021	0.2045292821460621	0.12113124787093968
212	1025.86	0	1017.1037384253772	0.2047802539054826	0.12170532961440385
213	1021.89	0	1013.4381850896085	0.2049436005376391	0.1231899412679785
214	1017.96	0	1009.8040900651582	0.20501874444454252	0.12376829779975305
215	1014.06	0	1006.2006252337219	0.20500553731926463	0.12526042113123395
216	1010.2	0	1002.6269816289878	0.2049042212146784	0.12584302774114667
217	1006.36	0	999.0823707985851	0.20471545066918345	0.1273425107012074
218	1002.56	0	995.5660261845593	0.20444027732078413	0.12792934254775673
219	998.786	0	992.077204214183	0.2040801493745808	0.1294360644132887
220	995.044	0	988.6151855540058	0.20363687257716945	0.1300270966708836
221	991.333	0	985.1792757372308	0.2031126142819099	0.13154096761375264
222	987.653	0	981.7688063550985	0.2025099130175631	0.1321361756120049
223	984.003	0	978.3831356781901	0.20183160146840057	0.13365713608265192
224	980.382	0	975.0216490784499	0.20108084521997738	0.13425649543728263
225	976.791	0	971.6837599240175	0.20026113949613641	0.13578451537522973
226	973.23	0	968.368909902451	0.1993762062052843	0.13638800211023075
227	969.697	0	965.0765689645388	0.1984300420526012	0.1379230799926774
228	966.193	0	961.8062360229775	0.19742690156249648	0.13853067065343808
229	962.718	0	958.5574387114012	0.19637122881658695	0.1400728323954935
230	959.271	0	955.3297334706134	0.195267688621526	0.14068450415267905
231	955.852	0	952.1227055536475	0.1941210958372285	0.14223380187285817
232	952.461	0	948.9359685075932	0.1929364255807389	0.14284953261689654
233	949.098	0	945.7691642601984	0.19171880199838562	0.14440604328132794
234	945.761	0	942.6219625113745	0.1904733895049635	0.14502581170742807
235	942.452	0	939.4940599449884	0.1892055212188968	0.1465896356676015
236	939.169	0	936.3851806792171	0.18792053630759756	0.14721342135129342
237	935.913	0	933.2950741929068	0.1866237738699732	0.14878468078875123
238	932.683	0	930.22351576206	0.1853206613722225	0.14941246425199492
239	929.479	0	927.1703051339849	0.18401654541772638	0.15099130154548224
240	926.3	0	924.1352656650498	0.18271681418457372	0.15162306431345496
241	923.128	0	921.1182440059905	0.18142669885824553	0.15320964034092555
242	919.981	0	918.1191077604379	0.18015138805238815	0.15384536498964307
243	916.859	0	915.1377461147896	0.1788960403378439	0.15543985738095534
244	913.762	0	912.1740676571012	0.1776655888304593	0.15607952757593868
245	910.689	0	909.2279995852174	0.17646487049975174	0.15768212892608915
246	907.64	0	906.2994865915117	0.1752985443378289	0.1583257294523181
247	904.616	0	903.3884895311056	0.1741710957977501	0.15993664551291856
248	901.615	0	900.4949844219873	0.17308684678363417	0.16058416229637165
249	898.638	0	897.6189612672424	0.1720498157471538	0.16220361015133083
250	895.684	0	894.760422124435	0.17106383961402605	0.16285503027242051
251	892.753	0	891.9193809057323	0.1701325633902947	0.16448323651574576
252	889.845	0	889.0958614560515	0.16925925960725155	0.16513854821501167
253	886.96	0	886.2898961513341	0.16844696901074108	0.1667757471365575
254	884.097	0	883.5015250828136	0.16769850448334253	0.16743493981298657
255	881.256	0	880.7307947652398	0.1670162939864697	0.169081371604434
256	878.438	0	877.9777563148822	0.16640247988102785	0.16974443580680434
257	875.641	0	875.2424649494724	0.16585899387425954	0.17140034479757965
258	872.865	0	872.5249787666492	0.165387290659316	0.17206727220924337
259	870.111	0	869.8253565096633	0.1649885671209957	0.17373290513975495
260	867.378	0	867.1436579378691	0.16466375849714882	0.17440368855728297
261	864.666	0	864.4799416484441	0.1644133339435883	0.17607929289778934
262	861.974	0	861.8342641552215	0.1642375262139546	0.17675392620391114
263	859.303	0	859.2066793381879	0.16413625354795988	0.178439748527235
264	856.652	0	856.5972370722427	0.1641090207154075	0.17911822665851726
265	854.02	0	854.0059821070745	0.16415502824135667	0.1808145110711434
266	851.409	0	851.4329534931468	0.16427320986458877	0.18149682998084585
267	848.816	0	848.8781837685901	0.16446211013878015	0.18320381661996682
268	846.244	0	846.3416976631908	0.1647199880558737	0.183889973236521
269	843.69	0	843.8235120162565	0.1650448516150449	0.18560789683598
270	841.154	0	841.3236347561143	0.16543430314158097	0.1862978890175264
271	838.638	0	838.8420638978715	0.16588575168792943	0.18802697755092632
272	836.139	0	836.3787879106434	0.16639628210519505	0.18872080403635408
273	833.659	0	833.9337839460743	0.16696283504625983	0.19046127743562766
274	831.197	0	831.5070193475888	0.16758197513831605	0.1911589377925347
275	828.752	0	829.0984485042978	0.1682498821120928	0.19291100675161751
276	826.325	0	826.7080143506042	0.16896294450189484	0.19361250132162341
277	823.914	0	824.3356488460254	0.16971721521418298	0.1953763661808992
278	821.521	0	821.9812711768973	0.1705082315678472	0.1960816960227075
279	819.144	0	819.6447872168762	0.17133163447760028	0.19785754574499423
280	816.784	0	817.3260914449736	0.17218298194227633	0.19856671257562145
281	814.44	0	815.0250652875915	0.17305760931551514	0.20035472380666638
282	812.113	0	812.7415782095633	0.1739508582606878	0.20106772994120967
283	809.8	0	810.4754874058895	0.17485776265222272	0.20286806616181205
284	807.504	0	808.2266370713043	0.17577339515843407	0.20358491445213647
285	805.223	0	805.9948600954024	0.17669278517998985	0.20539772522320254
286	802.957	0	803.7799768501187	0.1776110125231386	0.20611841899591554
287	800.706	0	801.5817973853007	0.17852326796690857	0.2079438392922154
288	798.469	0	799.400120537	0.17942429904738222	0.20866838228626494
289	796.247	0	797.2347330038172	0.18030942208366108	0.21050653192230248
290	794.039	0	795.0854140836816	0.18117368911576576	0.21123492822653192
291	791.845	0	792.9519300956274	0.18201216873071144	0.21308591137657093
292	789.665	0	790.8340406323379	0.18282054496510647	0.21381816536755568
293	787.498	0	788.7314962416475	0.18359397830980384	0.21568207017470864
294	785.345	0	786.644038407193	0.18432807240282814	0.2164181864551684
295	783.204	0	784.5714024736673	0.18501869131203583	0.21829508473072068
296	781.077	0	782.5133165777326	0.1856617658403272	0.21903506806879092
297	778.962	0	780.4695034791014	0.1862533732159147	0.2209250150829014
298	776.859	0	778.4396798972689	0.18678967084792678	0.2216688703525408
299	774.769	0	776.4235579524006	0.18726735373090803	0.22357190471402896
300	772.69	0	774.4208468548466	0.18768334698052616	0.22431963683681835
301	770.622	0	772.4312526663128	0.18803431631102396	0.22623578045297213
302	768.566	0	770.4544774328159	0.18831790362459644	0.2269873943415202
303	766.522	0	768.4902252643486	0.18853174683110854	0.22891665247275866
304	764.488	0	766.538196374201	0.1886734648068966	0.22967215297596907
305	762.467	0	764.5980930349398	0.18874117290258569	0.23161451436533184
306	760.456	0	762.6696162398225	0.1887335645782785	0.23237390621570997
307	758.457	0	760.7524719487745	0.18864945075936737	0.23432934330463184
308	756.469	0	758.846365419247	0.1884876198982274	0.2350926310678391
309	754.492	0	756.9510067029393	0.1882477759617608	0.23706110028535218
310	752.527	0	755.0661096045227	0.18792970075776413	0.23782828831216563
311	750.572	0	753.1913929486414	0.18753339999195942	0.23980973043895074
312	748.628	0	751.3265802446948	0.1870589241298458	0.24058082281978338
313	746.695	0	749.4714000586022	0.18650726622429178	0.24257516343614746
314	744.773	0	747.62558996471	0.18587986062630277	0.2433501639583077
315	742.861	0	745.7888944175404	0.18517770588097382	0.24535731394138166
316	740.96	0	743.9610644838223	0.18440230006198655	0.24613622604913207
317	739.069	0	742.141860182497	0.18355586982884228	0.24815608215556828
318	737.189	0	740.3310512307718	0.18264045129044026	0.24893890891315681
319	735.32	0	738.5284150161114	0.18165900656068099	0.2509713544114228
320	733.461	0	736.7337425227634	0.18061449975050792	0.2517580984691389
321	731.612	0	734.9468319697979	0.17950941113753494	0.25380300383660637
322	729.773	0	733.1674924858618	0.17834742139443946	0.25459366739996026
323	727.944	0	731.3955455062382	0.17713259872000006	0.2566508910712263
324	726.126	0	729.6308246145865	0.17586857105380352	0.2574454758733044
325	724.317	0	727.8731731761399	0.17455920320316615	0.25951486504097526
326	722.518	0	726.1224472663213	0.17320897967058557	0.2603133723180244
327	720.73	0	724.3785150017675	0.1718221733111289	0.262394763778371
328	718.951	0	722.6412557127986	0.17040372323270958	0.26319719424864124
329	717.181	0	720.9105631702593	0.16895858964539545	0.2652904152906164
330	715.421	0	719.1863418772097	0.16749086823708634	0.26609676913648456
331	713.671	0	717.4685064321039	0.1660064832462136	0.26820163846788053
332	711.931	0	715.756989594325	0.16451045813599482	0.2690119153212578
333	710.199	0	714.0517297202769	0.1630076063938085	0.27112824402087743
334	708.477	0	712.3526818393832	0.16150361520138595	0.27194244295187103
335	706.765	0	710.6598098165271	0.16000283136080887	0.2740700354580318
336	705.061	0	708.9730878993727	0.15851122169494453	0.2748881549668618
337	703.367	0	707.2925055465477	0.15703442753051206	0.2770268100904212
338	701.682	0	705.6180606536662	0.15557720911500028	0.2778488481025589
339	700.006	0	703.9497620811816	0.15414485544719558	0.27999836003457507
340	698.339	0	702.2876288669044	0.15274184211937716	0.2808243138989839
341	696.68	0	700.6316871599095	0.15137357158479714	0.2829844732728822
342	695.031	0	698.9819766632991	0.15004542556751516	0.2838143397634185
343	693.39	0	697.3385436358495	0.14876172555245204	0.28598493466845326
344	691.757	0	695.701443088438	0.14752651824964255	0.28681870998818637
345	690.134	0	694.0707351163973	0.146344539224145	0.2889995270477721
346	688.519	0	692.4464909828768	0.14522016977949365	0.28983720683631636
347	686.912	0	690.8287852472716	0.14415654271196124	0.29202803222669316
348	685.313	0	689.2176983015754	0.14315779723772484	0.2928696115702859
349	683.723	0	687.6133175872592	0.14222754463704984	0.2950702320744579
350	682.142	0	686.0157339907133	0.14136877935094366	0.29591570551879737
351	680.568	0	684.4250427627936	0.14058452446161168	0.2981259095340014
352	679.002	0	682.8413425127459	0.13987643446447964	0.29897527109962535
353	677.445	0	681.2647307170475	0.139246837074964	0.30119484965356874
354	675.895	0	679.6953107152585	0.13869882277442597	0.30204809285372053
355	674.353	0	678.133187527485	0.13823236065720326	0.3042768405809475
356	672.819	0	676.578459938236	0.13784990846259967	0.3051339584417389
357	671.293	0	675.0312379040554	0.13755185637076475	0.3073716745387038
358	669.774	0	673.4916172691072	0.13733776054991986	0.30823265962144525
359	668.263	0	671.9597018896653	0.13720883692203403	0.3104791487750548
360	666.76	0	670.4355878913534	0.1371639561898617	0.311343993200612
361	665.261	0	668.9193706288719	0.13720264157478293	0.31359906646700686
362	663.769	0	667.411140332124	0.13732322016392587	0.3144677619419847
363	662.284	0	665.910982164284	0.13752619694490695	0.3167312376031763
364	660.807	0	664.4189843459699	0.13780884193593962	0.3176037754478131
365	659.338	0	662.9352183086892	0.13816770905136172	0.31987547979913883
366	657.875	0	661.459756179678	0.13860118353915735	0.32075185097667075
367	656.42	0	659.9926602954303	0.13910471286162385	0.3230316191072887
368	654.972	0	658.5339833100376	0.1396778133395634	0.32391181425472004
369	653.531	0	657.0837830310644	0.140316193240898	0.3261994907234116
370	652.097	0	655.6420941942733	0.14101395759295574	0.3270835001833667
371	650.67	0	654.2089513241767	0.14176946927395667	0.32937893969481774
372	649.25	0	652.7843814199388	0.14257672438505878	0.3302667535484426
373	647.837	0	651.3683961282493	0.14343104458244857	0.3325698215249686
374	646.432	0	649.9610046577964	0.14432594635594592	0.33346142962557174
375	645.033	0	648.5621950272596	0.1452580300676544	0.33577200277670904
376	643.641	0	647.171963910823	0.14622472782093598	0.33666739478411356
377	642.255	0	645.7902900064984	0.147213232273198	0.3389853615306204
378	640.877	0	644.4171258025027	0.1482210183034651	0.339884526945821
379	639.506	0	643.0524416975662	0.14924587678235035	0.3422097878749591
380	638.141	0	641.6961832602366	0.1502767084040773	0.3431127160751569
381	636.783	0	640.3482840502381	0.15130870133875102	0.345445184278678
382	635.431	0	639.0086746957478	0.15233502920901035	0.34635186455237527
383	634.086	0	637.6772674409518	0.15335094608819805	0.34869146591175765
384	632.748	0	636.3539789189374	0.15435021857261866	0.3496018874937727
385	631.416	0	635.0387028276534	0.15532332102819219	0.35194856086380766
386	630.091	0	633.731326737409	0.1562692823686682	0.3528627129699474
387	628.773	0	632.4317439629804	0.15717844716019458	0.355216410382438
388	627.46	0	631.1398134329888	0.1580436118962672	0.3561342822438913
389	626.154	0	629.8554082641077	0.15886076305119617	0.35849496896981686
390	624.855	0	628.5783780564402	0.15962513228881356	0.3594165498669115
391	623.562	0	627.3085842704095	0.16033226551183952	0.36178420442979464
392	622.275	0	626.0458662082841	0.16097218733089194	0.36270948372501155
393	620.994	0	624.7900575693686	0.16154473290829843	0.3650840978590422
394	619.72	0	623.5410016367388	0.1620427491787553	0.36601306502916703
395	618.452	0	622.2985140067365	0.1624630844833354	0.36839464358396257
