Name: RF50
Material Name:Al
Type: Phy
Unit: cm
Cell_type: HSG
End Point(survival_level): 0.100000
Base Thickness(mmWEPL): 2.20909
SOBP Width(mmWEPL):50
Gy_RBE: 4.036530
data_lines: 101
 PeakNo.   Shift /Depth      Dose /Gy
       1      0.0000       0.25740
       2      0.0500       0.00089
       3      0.1000       0.00009
       4      0.1500       0.04242
       5      0.2000       0.09167
       6      0.2500       0.00081
       7      0.3000       0.00214
       8      0.3500       0.06525
       9      0.4000       0.03126
      10      0.4500       0.00612
      11      0.5000       0.01719
      12      0.5500       0.04701
      13      0.6000       0.01974
      14      0.6500       0.01055
      15      0.7000       0.02077
      16      0.7500       0.03156
      17      0.8000       0.01931
      18      0.8500       0.01393
      19      0.9000       0.01842
      20      0.9500       0.02289
      21      1.0000       0.01889
      22      1.0500       0.01532
      23      1.1000       0.01653
      24      1.1500       0.01836
      25      1.2000       0.01717
      26      1.2500       0.01548
      27      1.3000       0.01539
      28      1.3500       0.01601
      29      1.4000       0.01571
      30      1.4500       0.01468
      31      1.5000       0.01459
      32      1.5500       0.01485
      33      1.6000       0.01419
      34      1.6500       0.01381
      35      1.7000       0.01422
      36      1.7500       0.01448
      37      1.8000       0.01427
      38      1.8500       0.01411
      39      1.9000       0.01416
      40      1.9500       0.01407
      41      2.0000       0.01362
      42      2.0500       0.01384
      43      2.1000       0.01447
      44      2.1500       0.01395
      45      2.2000       0.01326
      46      2.2500       0.01356
      47      2.3000       0.01389
      48      2.3500       0.01351
      49      2.4000       0.01348
      50      2.4500       0.01358
      51      2.5000       0.01313
      52      2.5500       0.01300
      53      2.6000       0.01369
      54      2.6500       0.01341
      55      2.7000       0.01260
      56      2.7500       0.01287
      57      2.8000       0.01352
      58      2.8500       0.01290
      59      2.9000       0.01250
      60      2.9500       0.01293
      61      3.0000       0.01302
      62      3.0500       0.01268
      63      3.1000       0.01261
      64      3.1500       0.01264
      65      3.2000       0.01251
      66      3.2500       0.01243
      67      3.3000       0.01255
      68      3.3500       0.01230
      69      3.4000       0.01200
      70      3.4500       0.01228
      71      3.5000       0.01240
      72      3.5500       0.01198
      73      3.6000       0.01178
      74      3.6500       0.01218
      75      3.7000       0.01221
      76      3.7500       0.01157
      77      3.8000       0.01155
      78      3.8500       0.01224
      79      3.9000       0.01202
      80      3.9500       0.01120
      81      4.0000       0.01142
      82      4.0500       0.01211
      83      4.1000       0.01184
      84      4.1500       0.01101
      85      4.2000       0.01112
      86      4.2500       0.01202
      87      4.3000       0.01175
      88      4.3500       0.01084
      89      4.4000       0.01100
      90      4.4500       0.01168
      91      4.5000       0.01154
      92      4.5500       0.01095
      93      4.6000       0.01077
      94      4.6500       0.01099
      95      4.7000       0.01128
      96      4.7500       0.01207
      97      4.8000       0.01138
      98      4.8500       0.00944
      99      4.9000       0.00836
     100      4.9500       0.00951
     101      5.0000       0.02914
