Name:RF100
Material Name:Al
Type: BIO
Unit: cm
Cell_type: NULL
End Point(survival_level): 0.100000
Base Thickness(mmWEPL): 0.331364
SOBP Width(mmWEPL):100
Gy_RBE: 4.036530
data_lines: 101
 PeakNo.   Shift /Depth      Dose /Gy
       1      0.0000       0.25610
       2      0.1000       0.00636
       3      0.2000       0.13374
       4      0.3000       0.00489
       5      0.4000       0.09886
       6      0.5000       0.00995
       7      0.6000       0.07489
       8      0.7000       0.01783
       9      0.8000       0.05682
      10      0.9000       0.02455
      11      1.0000       0.04274
      12      1.1000       0.02882
      13      1.2000       0.03376
      14      1.3000       0.02940
      15      1.4000       0.02968
      16      1.5000       0.02763
      17      1.6000       0.02747
      18      1.7000       0.02620
      19      1.8000       0.02765
      20      1.9000       0.02622
      21      2.0000       0.02614
      22      2.1000       0.02670
      23      2.2000       0.02521
      24      2.3000       0.02579
      25      2.4000       0.02521
      26      2.5000       0.02461
      27      2.6000       0.02505
      28      2.7000       0.02389
      29      2.8000       0.02441
      30      2.9000       0.02353
      31      3.0000       0.02375
      32      3.1000       0.02332
      33      3.2000       0.02284
      34      3.3000       0.02289
      35      3.4000       0.02200
      36      3.5000       0.02240
      37      3.6000       0.02153
      38      3.7000       0.02184
      39      3.8000       0.02098
      40      3.9000       0.02155
      41      4.0000       0.02033
      42      4.1000       0.02127
      43      4.2000       0.01969
      44      4.3000       0.02098
      45      4.4000       0.01936
      46      4.5000       0.02025
      47      4.6000       0.01922
      48      4.7000       0.01959
      49      4.8000       0.01913
      50      4.9000       0.01907
      51      5.0000       0.01878
      52      5.1000       0.01882
      53      5.2000       0.01836
      54      5.3000       0.01849
      55      5.4000       0.01800
      56      5.5000       0.01826
      57      5.6000       0.01752
      58      5.7000       0.01816
      59      5.8000       0.01697
      60      5.9000       0.01794
      61      6.0000       0.01682
      62      6.1000       0.01753
      63      6.2000       0.01674
      64      6.3000       0.01710
      65      6.4000       0.01667
      66      6.5000       0.01662
      67      6.6000       0.01659
      68      6.7000       0.01638
      69      6.8000       0.01624
      70      6.9000       0.01624
      71      7.0000       0.01608
      72      7.1000       0.01605
      73      7.2000       0.01578
      74      7.3000       0.01586
      75      7.4000       0.01561
      76      7.5000       0.01559
      77      7.6000       0.01549
      78      7.7000       0.01525
      79      7.8000       0.01543
      80      7.9000       0.01506
      81      8.0000       0.01515
      82      8.1000       0.01505
      83      8.2000       0.01482
      84      8.3000       0.01498
      85      8.4000       0.01470
      86      8.5000       0.01486
      87      8.6000       0.01435
      88      8.7000       0.01481
      89      8.8000       0.01426
      90      8.9000       0.01457
      91      9.0000       0.01423
      92      9.1000       0.01440
      93      9.2000       0.01410
      94      9.3000       0.01427
      95      9.4000       0.01398
      96      9.5000       0.01420
      97      9.6000       0.01379
      98      9.7000       0.01403
      99      9.8000       0.01456
     100      9.9000       0.01085
     101     10.0000       0.02209
