Name: RF40
Material Name:Al
Type: Phy
Unit: cm
Cell_type: HSG
End Point(survival_level): 0.100000
Base Thickness(mmWEPL): 2.20909
SOBP Width(mmWEPL):20
Gy_RBE: 4.036530
data_lines: 81
 PeakNo.   Shift /Depth      Dose /Gy
       1      0.0000       0.26022
       2      0.0500       0.00062
       3      0.1000       0.00006
       4      0.1500       0.04460
       5      0.2000       0.09126
       6      0.2500       0.00061
       7      0.3000       0.00199
       8      0.3500       0.06961
       9      0.4000       0.02812
      10      0.4500       0.00571
      11      0.5000       0.01964
      12      0.5500       0.04921
      13      0.6000       0.01707
      14      0.6500       0.01009
      15      0.7000       0.02365
      16      0.7500       0.03293
      17      0.8000       0.01746
      18      0.8500       0.01356
      19      0.9000       0.02034
      20      0.9500       0.02425
      21      1.0000       0.01810
      22      1.0500       0.01494
      23      1.1000       0.01748
      24      1.1500       0.01951
      25      1.2000       0.01729
      26      1.2500       0.01534
      27      1.3000       0.01577
      28      1.3500       0.01677
      29      1.4000       0.01620
      30      1.4500       0.01487
      31      1.5000       0.01490
      32      1.5500       0.01534
      33      1.6000       0.01460
      34      1.6500       0.01416
      35      1.7000       0.01463
      36      1.7500       0.01489
      37      1.8000       0.01461
      38      1.8500       0.01449
      39      1.9000       0.01463
      40      1.9500       0.01451
      41      2.0000       0.01394
      42      2.0500       0.01418
      43      2.1000       0.01496
      44      2.1500       0.01439
      45      2.2000       0.01359
      46      2.2500       0.01398
      47      2.3000       0.01435
      48      2.3500       0.01387
      49      2.4000       0.01393
      50      2.4500       0.01410
      51      2.5000       0.01350
      52      2.5500       0.01332
      53      2.6000       0.01423
      54      2.6500       0.01393
      55      2.7000       0.01291
      56      2.7500       0.01329
      57      2.8000       0.01412
      58      2.8500       0.01327
      59      2.9000       0.01285
      60      2.9500       0.01350
      61      3.0000       0.01353
      62      3.0500       0.01304
      63      3.1000       0.01309
      64      3.1500       0.01318
      65      3.2000       0.01298
      66      3.2500       0.01290
      67      3.3000       0.01312
      68      3.3500       0.01273
      69      3.4000       0.01234
      70      3.4500       0.01288
      71      3.5000       0.01311
      72      3.5500       0.01249
      73      3.6000       0.01204
      74      3.6500       0.01235
      75      3.7000       0.01292
      76      3.7500       0.01346
      77      3.8000       0.01239
      78      3.8500       0.01081
      79      3.9000       0.00997
      80      3.9500       0.01019
      81      4.0000       0.03256
