Name: RF60
Material Name:Al
Type: Phy
Unit: cm
Cell_type: HSG
End Point(survival_level): 0.100000
Base Thickness(mmWEPL): 2.20909
SOBP Width(mmWEPL):60
Gy_RBE: 4.036530
data_lines: 121
 PeakNo.   Shift /Depth      Dose /Gy
       1      0.0000       0.25540
       2      0.0500       0.00116
       3      0.1000       0.00012
       4      0.1500       0.04062
       5      0.2000       0.09218
       6      0.2500       0.00101
       7      0.3000       0.00228
       8      0.3500       0.06177
       9      0.4000       0.03372
      10      0.4500       0.00653
      11      0.5000       0.01565
      12      0.5500       0.04487
      13      0.6000       0.02184
      14      0.6500       0.01105
      15      0.7000       0.01902
      16      0.7500       0.03012
      17      0.8000       0.02058
      18      0.8500       0.01440
      19      0.9000       0.01734
      20      0.9500       0.02173
      21      1.0000       0.01922
      22      1.0500       0.01570
      23      1.1000       0.01610
      24      1.1500       0.01756
      25      1.2000       0.01691
      26      1.2500       0.01555
      27      1.3000       0.01524
      28      1.3500       0.01559
      29      1.4000       0.01532
      30      1.4500       0.01447
      31      1.5000       0.01442
      32      1.5500       0.01458
      33      1.6000       0.01390
      34      1.6500       0.01351
      35      1.7000       0.01390
      36      1.7500       0.01421
      37      1.8000       0.01404
      38      1.8500       0.01382
      39      1.9000       0.01381
      40      1.9500       0.01375
      41      2.0000       0.01337
      42      2.0500       0.01355
      43      2.1000       0.01411
      44      2.1500       0.01364
      45      2.2000       0.01297
      46      2.2500       0.01322
      47      2.3000       0.01355
      48      2.3500       0.01323
      49      2.4000       0.01317
      50      2.4500       0.01320
      51      2.5000       0.01279
      52      2.5500       0.01270
      53      2.6000       0.01333
      54      2.6500       0.01309
      55      2.7000       0.01232
      56      2.7500       0.01250
      57      2.8000       0.01310
      58      2.8500       0.01264
      59      2.9000       0.01223
      60      2.9500       0.01251
      61      3.0000       0.01261
      62      3.0500       0.01241
      63      3.1000       0.01231
      64      3.1500       0.01222
      65      3.2000       0.01213
      66      3.2500       0.01211
      67      3.3000       0.01221
      68      3.3500       0.01194
      69      3.4000       0.01163
      70      3.4500       0.01187
      71      3.5000       0.01204
      72      3.5500       0.01170
      73      3.6000       0.01142
      74      3.6500       0.01169
      75      3.7000       0.01181
      76      3.7500       0.01131
      77      3.8000       0.01119
      78      3.8500       0.01171
      79      3.9000       0.01161
      80      3.9500       0.01095
      81      4.0000       0.01103
      82      4.0500       0.01154
      83      4.1000       0.01141
      84      4.1500       0.01077
      85      4.2000       0.01073
      86      4.2500       0.01136
      87      4.3000       0.01129
      88      4.3500       0.01067
      89      4.4000       0.01064
      90      4.4500       0.01101
      91      4.5000       0.01097
      92      4.5500       0.01059
      93      4.6000       0.01051
      94      4.6500       0.01080
      95      4.7000       0.01073
      96      4.7500       0.01042
      97      4.8000       0.01051
      98      4.8500       0.01073
      99      4.9000       0.01041
     100      4.9500       0.01021
     101      5.0000       0.01050
     102      5.0500       0.01050
     103      5.1000       0.01033
     104      5.1500       0.01021
     105      5.2000       0.01023
     106      5.2500       0.01040
     107      5.3000       0.01030
     108      5.3500       0.00993
     109      5.4000       0.01000
     110      5.4500       0.01037
     111      5.5000       0.01028
     112      5.5500       0.01003
     113      5.6000       0.00961
     114      5.6500       0.00967
     115      5.7000       0.01060
     116      5.7500       0.01099
     117      5.8000       0.00951
     118      5.8500       0.00854
     119      5.9000       0.00806
     120      5.9500       0.00894
     121      6.0000       0.02548
