Name: RF20
Material Name:Al
Type: Phy
Unit: cm
Cell_type: HSG
End Point(survival_level): 0.100000
Base Thickness(mmWEPL): 2.20909
SOBP Width(mmWEPL):20
Gy_RBE: 4.036530
data_lines: 41
 PeakNo.   Shift /Depth      Dose /Gy
       1      0.0000       0.17034
       2      0.0500       0.00015
       3      0.1000       0.00001
       4      0.1500       0.05056
       5      0.2000       0.09166
       6      0.2500       0.00022
       7      0.3000       0.00155
       8      0.3500       0.08297
       9      0.4000       0.01771
      10      0.4500       0.00471
      11      0.5000       0.03325
      12      0.5500       0.04892
      13      0.6000       0.00923
      14      0.6500       0.01024
      15      0.7000       0.03912
      16      0.7500       0.02925
      17      0.8000       0.01087
      18      0.8500       0.01546
      19      0.9000       0.03170
      20      0.9500       0.02278
      21      1.0000       0.01309
      22      1.0500       0.01636
      23      1.1000       0.02492
      24      1.1500       0.02049
      25      1.2000       0.01439
      26      1.2500       0.01596
      27      1.3000       0.02023
      28      1.3500       0.01878
      29      1.4000       0.01532
      30      1.4500       0.01517
      31      1.5000       0.01769
      32      1.5500       0.01764
      33      1.6000       0.01460
      34      1.6500       0.01414
      35      1.7000       0.01667
      36      1.7500       0.01886
      37      1.8000       0.01557
      38      1.8500       0.01246
      39      1.9000       0.01359
      40      1.9500       0.01413
      41      2.0000       0.04081
