Name: RF80
Material Name:Al
Type: Phy
Unit: cm
Cell_type: HSG
End Point(survival_level): 0.100000
Base Thickness(mmWEPL): 3.31364
SOBP Width(mmWEPL):80
Gy_RBE: 4.036530
data_lines: 81
 PeakNo.   Shift /Depth      Dose /Gy
       1      0.0000       0.25780
       2      0.1000       0.00607
       3      0.2000       0.13526
       4      0.3000       0.00420
       5      0.4000       0.10060
       6      0.5000       0.00881
       7      0.6000       0.07698
       8      0.7000       0.01631
       9      0.8000       0.05913
      10      0.9000       0.02292
      11      1.0000       0.04486
      12      1.1000       0.02761
      13      1.2000       0.03519
      14      1.3000       0.02894
      15      1.4000       0.03036
      16      1.5000       0.02773
      17      1.6000       0.02778
      18      1.7000       0.02646
      19      1.8000       0.02795
      20      1.9000       0.02645
      21      2.0000       0.02648
      22      2.1000       0.02697
      23      2.2000       0.02553
      24      2.3000       0.02614
      25      2.4000       0.02553
      26      2.5000       0.02499
      27      2.6000       0.02541
      28      2.7000       0.02427
      29      2.8000       0.02484
      30      2.9000       0.02389
      31      3.0000       0.02424
      32      3.1000       0.02371
      33      3.2000       0.02334
      34      3.3000       0.02335
      35      3.4000       0.02248
      36      3.5000       0.02293
      37      3.6000       0.02200
      38      3.7000       0.02243
      39      3.8000       0.02145
      40      3.9000       0.02219
      41      4.0000       0.02080
      42      4.1000       0.02193
      43      4.2000       0.02018
      44      4.3000       0.02168
      45      4.4000       0.01984
      46      4.5000       0.02099
      47      4.6000       0.01973
      48      4.7000       0.02036
      49      4.8000       0.01970
      50      4.9000       0.01983
      51      5.0000       0.01941
      52      5.1000       0.01958
      53      5.2000       0.01907
      54      5.3000       0.01928
      55      5.4000       0.01872
      56      5.5000       0.01911
      57      5.6000       0.01824
      58      5.7000       0.01906
      59      5.8000       0.01771
      60      5.9000       0.01889
      61      6.0000       0.01758
      62      6.1000       0.01853
      63      6.2000       0.01751
      64      6.3000       0.01814
      65      6.4000       0.01751
      66      6.5000       0.01765
      67      6.6000       0.01748
      68      6.7000       0.01739
      69      6.8000       0.01721
      70      6.9000       0.01723
      71      7.0000       0.01711
      72      7.1000       0.01711
      73      7.2000       0.01680
      74      7.3000       0.01701
      75      7.4000       0.01657
      76      7.5000       0.01692
      77      7.6000       0.01636
      78      7.7000       0.01660
      79      7.8000       0.01745
      80      7.9000       0.01260
      81      8.0000       0.02639
