Name:RF110
Material Name:Al
Type: BIO
Unit: cm
Cell_type: NULL
End Point(survival_level): 0.100000
Base Thickness(mmWEPL): 0.331364
SOBP Width(mmWEPL):100
Gy_RBE: 4.036530
data_lines: 111
 PeakNo.   Shift /Depth      Dose /Gy
       1      0.0000       0.25541
       2      0.1000       0.00650
       3      0.2000       0.13309
       4      0.3000       0.00521
       5      0.4000       0.09811
       6      0.5000       0.01046
       7      0.6000       0.07399
       8      0.7000       0.01852
       9      0.8000       0.05583
      10      0.9000       0.02525
      11      1.0000       0.04187
      12      1.1000       0.02931
      13      1.2000       0.03322
      14      1.3000       0.02955
      15      1.4000       0.02945
      16      1.5000       0.02755
      17      1.6000       0.02737
      18      1.7000       0.02609
      19      1.8000       0.02754
      20      1.9000       0.02613
      21      2.0000       0.02602
      22      2.1000       0.02661
      23      2.2000       0.02511
      24      2.3000       0.02568
      25      2.4000       0.02512
      26      2.5000       0.02450
      27      2.6000       0.02495
      28      2.7000       0.02379
      29      2.8000       0.02429
      30      2.9000       0.02344
      31      3.0000       0.02363
      32      3.1000       0.02323
      33      3.2000       0.02273
      34      3.3000       0.02279
      35      3.4000       0.02190
      36      3.5000       0.02229
      37      3.6000       0.02144
      38      3.7000       0.02173
      39      3.8000       0.02088
      40      3.9000       0.02142
      41      4.0000       0.02023
      42      4.1000       0.02109
      43      4.2000       0.01960
      44      4.3000       0.02076
      45      4.4000       0.01924
      46      4.5000       0.02002
      47      4.6000       0.01906
      48      4.7000       0.01935
      49      4.8000       0.01893
      50      4.9000       0.01883
      51      5.0000       0.01856
      52      5.1000       0.01860
      53      5.2000       0.01812
      54      5.3000       0.01827
      55      5.4000       0.01777
      56      5.5000       0.01801
      57      5.6000       0.01731
      58      5.7000       0.01789
      59      5.8000       0.01677
      60      5.9000       0.01765
      61      6.0000       0.01663
      62      6.1000       0.01722
      63      6.2000       0.01651
      64      6.3000       0.01680
      65      6.4000       0.01641
      66      6.5000       0.01632
      67      6.6000       0.01630
      68      6.7000       0.01606
      69      6.8000       0.01592
      70      6.9000       0.01591
      71      7.0000       0.01574
      72      7.1000       0.01570
      73      7.2000       0.01543
      74      7.3000       0.01548
      75      7.4000       0.01525
      76      7.5000       0.01518
      77      7.6000       0.01511
      78      7.7000       0.01488
      79      7.8000       0.01500
      80      7.9000       0.01470
      81      8.0000       0.01470
      82      8.1000       0.01468
      83      8.2000       0.01438
      84      8.3000       0.01456
      85      8.4000       0.01427
      86      8.5000       0.01441
      87      8.6000       0.01396
      88      8.7000       0.01430
      89      8.8000       0.01387
      90      8.9000       0.01404
      91      9.0000       0.01382
      92      9.1000       0.01384
      93      9.2000       0.01366
      94      9.3000       0.01368
      95      9.4000       0.01357
      96      9.5000       0.01350
      97      9.6000       0.01345
      98      9.7000       0.01333
      99      9.8000       0.01330
     100      9.9000       0.01329
     101     10.0000       0.01313
     102     10.1000       0.01319
     103     10.2000       0.01309
     104     10.3000       0.01304
     105     10.4000       0.01288
     106     10.5000       0.01301
     107     10.6000       0.01277
     108     10.7000       0.01284
     109     10.8000       0.01346
     110     10.9000       0.00987
     111     11.0000       0.02034
