seondary             mass    charge	   10 MeV 	   20 MeV 	   30 MeV 	   40 MeV 	   50 MeV 	   60 MeV 	   70 MeV 	   80 MeV 	   90 MeV 	  100 MeV 	  110 MeV 	  120 MeV 	  130 MeV 	  140 MeV 	  150 MeV 	  160 MeV 	  170 MeV 	  180 MeV 	  190 MeV 	  200 MeV 	  210 MeV 	  220 MeV 	  230 MeV 	  240 MeV 	  250 MeV 	  260 MeV 	  270 MeV 	  280 MeV 	  290 MeV 	  300 MeV 	  310 MeV 	  320 MeV 	  330 MeV 	  340 MeV 	  350 MeV 	  360 MeV 	  370 MeV 	  380 MeV 	  390 MeV 	  400 MeV 	  410 MeV 	  420 MeV 	  430 MeV 	  440 MeV 	  450 MeV 
He8              7482.531         2	   0.00000000    	   4.27999999E-04	   3.10000003E-04	   2.27500001E-04	   3.37000005E-04	   4.60000010E-04	   6.78499986E-04	   9.99000040E-04	   1.24100002E-03	   1.27300003E-03	   1.26199995E-03	   9.59000026E-04	   5.85999980E-04	   5.08999976E-04	   3.51499999E-04	   5.09999983E-04	   7.12500012E-04	   1.00149994E-03	   1.35100004E-03	   1.68500002E-03	   2.00399989E-03	   2.33449996E-03	   2.64049997E-03	   3.01850005E-03	   3.34300008E-03	   3.55549995E-03	   3.62799992E-03	   3.85349989E-03	   3.97050008E-03	   4.11499990E-03	   4.11849981E-03	   4.19300003E-03	   4.17250022E-03	   4.18000016E-03	   4.20199987E-03	   4.23499988E-03	   4.27250005E-03	   4.16450016E-03	   4.16800007E-03	   4.15749988E-03	   4.19950020E-03	   4.04200004E-03	   3.94299999E-03	   3.95150017E-03	   3.95249994E-03
K37             34430.797        19	   1.70150003E-03	   4.00649989E-03	   3.97699978E-03	   3.60350008E-03	   3.38950008E-03	   3.06900009E-03	   2.96350010E-03	   2.82749999E-03	   2.74599995E-03	   2.65799998E-03	   3.16999992E-03	   3.65200010E-03	   3.99400014E-03	   4.24350007E-03	   4.48950008E-03	   4.39850008E-03	   4.31700004E-03	   4.24299994E-03	   4.16200003E-03	   4.18499997E-03	   4.14650002E-03	   4.23450023E-03	   4.16250015E-03	   4.14599990E-03	   4.21850011E-03	   4.13350016E-03	   4.16250015E-03	   4.18150006E-03	   4.19100001E-03	   4.12000017E-03	   4.21250006E-03	   4.20700014E-03	   4.18849988E-03	   4.18600021E-03	   4.24499996E-03	   4.16149991E-03	   4.20100009E-03	   4.14549978E-03	   4.16850019E-03	   4.20300011E-03	   4.19049989E-03	   4.16600006E-03	   4.23149997E-03	   4.25950019E-03	   4.20199987E-03
K38             35358.289        19	   2.50115003E-02	   3.01134996E-02	   2.57479995E-02	   2.35179998E-02	   2.13105008E-02	   1.96564998E-02	   1.90705005E-02	   1.84599999E-02	   1.73690002E-02	   1.87519994E-02	   2.20599994E-02	   2.42040008E-02	   2.61415001E-02	   2.82070003E-02	   3.03799994E-02	   2.89105009E-02	   2.80440003E-02	   2.72129998E-02	   2.66299993E-02	   2.61450000E-02	   2.58290004E-02	   2.56149992E-02	   2.52330005E-02	   2.49984991E-02	   2.46520005E-02	   2.46935003E-02	   2.44135000E-02	   2.41749994E-02	   2.43970007E-02	   2.41550002E-02	   2.41349991E-02	   2.39965003E-02	   2.40209997E-02	   2.35949997E-02	   2.38659997E-02	   2.37900000E-02	   2.34900005E-02	   2.33699996E-02	   2.33769994E-02	   2.33910009E-02	   2.31734999E-02	   2.30589993E-02	   2.28560008E-02	   2.28534993E-02	   2.27914993E-02
K39             36284.777        19	   9.55414996E-02	   7.12625012E-02	   5.35309985E-02	   4.86619994E-02	   4.67095003E-02	   4.60770018E-02	   4.52454984E-02	   4.47410010E-02	   4.56304997E-02	   4.03040014E-02	   4.18444984E-02	   5.12535013E-02	   5.91010004E-02	   6.42755032E-02	   6.76710010E-02	   6.47575036E-02	   6.25955015E-02	   6.13930002E-02	   5.99419996E-02	   5.90045005E-02	   5.82019985E-02	   5.73620014E-02	   5.71055003E-02	   5.65549992E-02	   5.61150014E-02	   5.56244999E-02	   5.53614981E-02	   5.53039983E-02	   5.47900014E-02	   5.50049990E-02	   5.46460003E-02	   5.42390011E-02	   5.42284995E-02	   5.40629998E-02	   5.38294986E-02	   5.33289984E-02	   5.34380004E-02	   5.30019999E-02	   5.28779998E-02	   5.33104986E-02	   5.27375005E-02	   5.28944992E-02	   5.27050011E-02	   5.25695011E-02	   5.24099991E-02
K40             37216.547        19	   3.98804992E-02	   1.81460008E-02	   7.00999983E-03	   4.48750006E-03	   3.41350003E-03	   2.62550008E-03	   2.14749994E-03	   1.98299997E-03	   1.77199999E-03	   1.68900006E-03	   1.92099996E-03	   1.51199999E-03	   1.21450005E-03	   1.03449996E-03	   8.70999997E-04	   8.23999988E-04	   7.87500001E-04	   7.74500018E-04	   7.14999973E-04	   7.44500023E-04	   7.05500017E-04	   7.22999976E-04	   6.89000008E-04	   6.70499983E-04	   6.60500024E-04	   6.87499996E-04	   6.60500024E-04	   6.62499981E-04	   6.92999980E-04	   6.57500001E-04	   6.84000028E-04	   7.00999983E-04	   6.65500003E-04	   6.62999984E-04	   6.36000012E-04	   6.32999989E-04	   6.75000018E-04	   6.97500014E-04	   6.54999982E-04	   6.76000025E-04	   6.78499986E-04	   6.09499984E-04	   6.25499990E-04	   6.62999984E-04	   6.30999974E-04
K41             38146.016        19	   4.06499999E-03	   2.77550006E-03	   1.98849989E-03	   1.45350001E-03	   1.20249996E-03	   1.04350003E-03	   1.00900000E-03	   8.90999974E-04	   9.14999982E-04	   9.10500006E-04	   1.02950004E-03	   1.15449994E-03	   1.15999999E-03	   1.15400006E-03	   1.26399996E-03	   1.23549998E-03	   1.18499994E-03	   1.17349997E-03	   1.12150004E-03	   1.08299998E-03	   1.05850003E-03	   1.10550004E-03	   1.05650001E-03	   9.95500013E-04	   1.04100001E-03	   1.04999996E-03	   1.03299995E-03	   1.00399996E-03	   9.97500028E-04	   1.02249999E-03	   1.01949996E-03	   1.02400000E-03	   1.04700006E-03	   1.00749999E-03	   9.51999973E-04	   9.58000019E-04	   9.75999981E-04	   9.55500000E-04	   1.01799995E-03	   1.01450004E-03	   9.50500020E-04	   9.90999979E-04	   9.83500038E-04	   9.24499996E-04	   9.52999981E-04
Li6              5601.520         3	  0.014745000    	  0.058475480    	  0.062516176    	  0.084776473    	  0.097812222    	  0.096009999    	  0.095320001    	  0.096965499    	  0.094224997    	  0.082681499    	  0.078100003    	  0.079035498    	  0.082914858    	  0.090493689    	  0.098535572    	  0.097172163    	  0.097660797    	  0.097507203    	  0.096939840    	  0.096429119    	  0.095715358    	  0.095258403    	  0.093358403    	  0.092964623    	  0.090564333    	  0.089687802    	  0.089413918    	  0.089080978    	  0.089062845    	  0.088644809    	  0.088220731    	  0.087874771    	  0.087838497    	  0.084704851    	  0.084600453    	  0.084565350    	  0.084046503    	  0.084154952    	  0.083898003    	  0.083654552    	   9.27864984E-02	   9.26005021E-02	   9.20054987E-02	   9.22100022E-02	   9.27285030E-02
Li7              6533.835         3	  0.025144201    	  0.037928939    	  0.037451376    	  0.046560676    	  0.051549223    	  0.051644999    	  0.052539501    	  0.051904000    	  0.048719000    	  0.038086999    	  0.038594998    	  0.042351000    	  0.045751299    	  0.051636199    	  0.058188481    	  0.058023841    	  0.058973279    	  0.059377441    	  0.059841120    	  0.059482559    	  0.059492161    	  0.059553602    	  0.058716175    	  0.058317649    	  0.057340546    	  0.057233596    	  0.056928556    	  0.056875545    	  0.056502614    	  0.056707215    	  0.056315686    	  0.056387761    	  0.056584920    	  0.054295649    	  0.054399601    	  0.054278100    	  0.054403198    	  0.054296551    	  0.054294750    	  0.054055799    	   6.01570010E-02	   5.99940009E-02	   5.99935018E-02	   6.00510016E-02	   5.97025007E-02
Li8              7471.367         3	   6.64999970E-05	   3.58900009E-03	   4.38599987E-03	   6.43000007E-03	   8.94100033E-03	   1.05259996E-02	   1.12554999E-02	   1.19340001E-02	   1.22595001E-02	   1.02444999E-02	   8.99150036E-03	   8.17599986E-03	   7.47000007E-03	   8.46199971E-03	   9.94050037E-03	   1.05769997E-02	   1.11509999E-02	   1.14085004E-02	   1.18404999E-02	   1.20679997E-02	   1.21785002E-02	   1.22685004E-02	   1.25225000E-02	   1.25409998E-02	   1.27130002E-02	   1.26689998E-02	   1.26560004E-02	   1.29284998E-02	   1.27980001E-02	   1.25360005E-02	   1.26365004E-02	   1.26374997E-02	   1.26459999E-02	   1.25965001E-02	   1.25214998E-02	   1.26879998E-02	   1.27929999E-02	   1.25110000E-02	   1.26390001E-02	   1.26385000E-02	   1.26719996E-02	   1.25550004E-02	   1.28220003E-02	   1.26635004E-02	   1.25944996E-02
Li9              8406.870         3	   5.66000002E-04	   2.49049999E-03	   1.77350000E-03	   1.83349999E-03	   1.67849998E-03	   1.72850001E-03	   2.11900007E-03	   2.53550010E-03	   2.93199997E-03	   2.66800006E-03	   2.26649991E-03	   1.69850001E-03	   1.07200001E-03	   1.22049998E-03	   1.42350001E-03	   1.61649997E-03	   1.87849998E-03	   1.95199996E-03	   2.17100000E-03	   2.20800005E-03	   2.35600001E-03	   2.36849999E-03	   2.51600007E-03	   2.53350008E-03	   2.62299995E-03	   2.66149989E-03	   2.61750002E-03	   2.67449999E-03	   2.74950010E-03	   2.77150003E-03	   2.74099992E-03	   2.76249996E-03	   2.80799996E-03	   2.74599995E-03	   2.74350005E-03	   2.70400010E-03	   2.76049995E-03	   2.72249989E-03	   2.66100001E-03	   2.72249989E-03	   2.69849994E-03	   2.67300010E-03	   2.69050011E-03	   2.70650000E-03	   2.67999992E-03
