seondary             mass    charge	   10 MeV 	   20 MeV 	   30 MeV 	   40 MeV 	   50 MeV 	   60 MeV 	   70 MeV 	   80 MeV 	   90 MeV 	  100 MeV 	  110 MeV 	  120 MeV 	  130 MeV 	  140 MeV 	  150 MeV 	  160 MeV 	  170 MeV 	  180 MeV 	  190 MeV 	  200 MeV 	  210 MeV 	  220 MeV 	  230 MeV 	  240 MeV 	  250 MeV 	  260 MeV 	  270 MeV 	  280 MeV 	  290 MeV 	  300 MeV 	  310 MeV 	  320 MeV 	  330 MeV 	  340 MeV 	  350 MeV 	  360 MeV 	  370 MeV 	  380 MeV 	  390 MeV 	  400 MeV 	  410 MeV 	  420 MeV 	  430 MeV 	  440 MeV 	  450 MeV 
Mg23            21412.770        12	   1.89999992E-05	   5.11999999E-04	   1.49149995E-03	   1.77850004E-03	   2.44649989E-03	   3.97050008E-03	   5.18949982E-03	   5.60449995E-03	   5.85799990E-03	   6.16399990E-03	   5.41150011E-03	   4.64949990E-03	   3.73100000E-03	   2.72700004E-03	   1.78449997E-03	   1.78199995E-03	   1.82000000E-03	   1.79849996E-03	   1.78699999E-03	   1.74800004E-03	   1.78599998E-03	   1.71350001E-03	   1.78349996E-03	   1.76150003E-03	   1.70450006E-03	   1.72900001E-03	   1.75699999E-03	   1.75900001E-03	   1.74750003E-03	   1.74750003E-03	   1.76949997E-03	   1.75599998E-03	   1.74950005E-03	   1.70749996E-03	   1.78050005E-03	   1.73450005E-03	   1.69700000E-03	   1.74950005E-03	   1.75800000E-03	   1.72800000E-03	   1.76699995E-03	   1.76849996E-03	   1.72700000E-03	   1.69149996E-03	   1.75199995E-03
Mg24            22335.803        12	   1.93500004E-04	   1.06725004E-02	   2.43519992E-02	   2.39394996E-02	   2.74979994E-02	   2.94525009E-02	   2.90460009E-02	   2.83875000E-02	   2.77525000E-02	   3.25364992E-02	   3.40359993E-02	   3.21209989E-02	   2.99999993E-02	   2.74299998E-02	   2.48805005E-02	   2.41279993E-02	   2.38074996E-02	   2.34795008E-02	   2.31615007E-02	   2.29480006E-02	   2.28000004E-02	   2.26614997E-02	   2.24535000E-02	   2.23165005E-02	   2.22674999E-02	   2.23089997E-02	   2.20420007E-02	   2.19119992E-02	   2.17634998E-02	   2.19125003E-02	   2.16969997E-02	   2.15904992E-02	   2.14844998E-02	   2.13904995E-02	   2.14949995E-02	   2.12134998E-02	   2.13294998E-02	   2.12140009E-02	   2.12650001E-02	   2.11900007E-02	   2.12260000E-02	   2.10710000E-02	   2.09334996E-02	   2.10200008E-02	   2.07499992E-02
Mg25            23268.039        12	   1.06500003E-04	   8.58500041E-03	   1.69625003E-02	   1.81064997E-02	   1.90639999E-02	   1.82700008E-02	   1.72444992E-02	   1.64880008E-02	   1.63835008E-02	   1.92185007E-02	   2.10209992E-02	   1.98675003E-02	   1.90434996E-02	   1.78089999E-02	   1.65160000E-02	   1.61285009E-02	   1.58140007E-02	   1.57875009E-02	   1.53965000E-02	   1.51554998E-02	   1.50659997E-02	   1.46979997E-02	   1.47914998E-02	   1.46765001E-02	   1.47280004E-02	   1.45495003E-02	   1.43414997E-02	   1.42430002E-02	   1.41240004E-02	   1.40664997E-02	   1.39464997E-02	   1.41500002E-02	   1.39650004E-02	   1.39290001E-02	   1.38379997E-02	   1.37780001E-02	   1.36155002E-02	   1.37280002E-02	   1.36900004E-02	   1.35815004E-02	   1.35925002E-02	   1.34145003E-02	   1.35140000E-02	   1.34945000E-02	   1.34870000E-02
Mg26            24196.512        12	   1.04999999E-04	   7.50449998E-03	   1.43905003E-02	   1.74735002E-02	   1.66219994E-02	   1.54835004E-02	   1.48595003E-02	   1.42305000E-02	   1.41395004E-02	   1.60064995E-02	   1.68650001E-02	   1.58325005E-02	   1.47775002E-02	   1.35890003E-02	   1.23965004E-02	   1.20970001E-02	   1.18244998E-02	   1.16964998E-02	   1.15085002E-02	   1.11490004E-02	   1.12640001E-02	   1.09254997E-02	   1.07760001E-02	   1.06814997E-02	   1.06400000E-02	   1.06495004E-02	   1.06060002E-02	   1.04735000E-02	   1.03989998E-02	   1.02319997E-02	   1.02899997E-02	   1.01215001E-02	   1.00509999E-02	   1.01020001E-02	   1.01720002E-02	   1.00339996E-02	   9.91750043E-03	   1.00360001E-02	   9.78249963E-03	   9.99400020E-03	   9.97100025E-03	   9.69399977E-03	   9.78749990E-03	   9.71749984E-03	   9.66050010E-03
N13             12111.196         7	   9.80000012E-04	   2.05300003E-03	   2.27600010E-03	   2.85749999E-03	   2.91600008E-03	   2.84050009E-03	   2.65250006E-03	   2.38150009E-03	   2.14549992E-03	   1.95099995E-03	   1.91300001E-03	   2.45100004E-03	   3.54650011E-03	   2.87849992E-03	   2.15249998E-03	   2.14800006E-03	   2.13850010E-03	   2.13799998E-03	   2.17949995E-03	   2.18750001E-03	   2.13950011E-03	   2.09000008E-03	   2.12699990E-03	   2.08600005E-03	   2.12149997E-03	   2.17949995E-03	   2.12249998E-03	   2.08449992E-03	   2.18650000E-03	   2.16299994E-03	   2.13450007E-03	   2.11700005E-03	   2.17349990E-03	   2.10699998E-03	   2.14500003E-03	   2.14200001E-03	   2.13750009E-03	   2.21899990E-03	   2.12000008E-03	   2.11449992E-03	   2.08600005E-03	   2.07699998E-03	   2.12249998E-03	   2.06450000E-03	   2.09049997E-03
N14             13040.208         7	   4.42499993E-04	   5.27849980E-03	   7.76899979E-03	   1.02220001E-02	   1.01284999E-02	   9.22700018E-03	   8.48949980E-03	   7.52499979E-03	   6.60800003E-03	   6.08950015E-03	   6.98699988E-03	   9.93399974E-03	   1.35385003E-02	   1.19939996E-02	   1.03289997E-02	   1.03690000E-02	   1.01819998E-02	   1.01610003E-02	   9.95749980E-03	   1.00464998E-02	   9.82199982E-03	   9.83749982E-03	   9.78599954E-03	   9.70099960E-03	   9.64799989E-03	   9.62200016E-03	   9.54649970E-03	   9.34099965E-03	   9.37450025E-03	   9.39750019E-03	   9.37400013E-03	   9.41099972E-03	   9.30649973E-03	   9.19799972E-03	   9.32000019E-03	   9.19250026E-03	   9.15800035E-03	   9.14099999E-03	   9.17499978E-03	   9.19049978E-03	   9.01249982E-03	   9.16850008E-03	   9.06850025E-03	   9.12499987E-03	   9.15549975E-03
N15             13968.940         7	   2.43500006E-04	   2.96099996E-03	   6.97349990E-03	   1.03249997E-02	   1.04174996E-02	   9.85050015E-03	   8.80399998E-03	   7.92299956E-03	   7.08450004E-03	   6.65549980E-03	   7.98649993E-03	   1.13634998E-02	   1.42975003E-02	   1.31094996E-02	   1.20484997E-02	   1.16750002E-02	   1.15230000E-02	   1.15430001E-02	   1.13530001E-02	   1.10959997E-02	   1.11255003E-02	   1.10005001E-02	   1.10229999E-02	   1.07864998E-02	   1.05969999E-02	   1.05900001E-02	   1.05419997E-02	   1.06595000E-02	   1.04379999E-02	   1.05295004E-02	   1.03225000E-02	   1.03310002E-02	   1.02650002E-02	   1.02610001E-02	   1.03085004E-02	   1.01915002E-02	   1.01600001E-02	   1.02425003E-02	   1.01204999E-02	   1.01675000E-02	   1.00804996E-02	   1.00550000E-02	   1.01060001E-02	   1.00154998E-02	   9.97649971E-03
N16             14906.016         7	   1.10000001E-05	   1.56499998E-04	   6.99499971E-04	   1.17499998E-03	   1.26549997E-03	   1.21699995E-03	   1.16300001E-03	   1.04949996E-03	   9.28000023E-04	   8.53999984E-04	   9.79500008E-04	   1.46099995E-03	   1.79400004E-03	   1.60449999E-03	   1.38499995E-03	   1.41449994E-03	   1.43599999E-03	   1.33700005E-03	   1.39250001E-03	   1.34550000E-03	   1.29050005E-03	   1.34950003E-03	   1.28400000E-03	   1.29549997E-03	   1.26499997E-03	   1.24999997E-03	   1.26299995E-03	   1.27550005E-03	   1.32699998E-03	   1.22950005E-03	   1.30749994E-03	   1.29199994E-03	   1.26000005E-03	   1.25400000E-03	   1.25500001E-03	   1.20750000E-03	   1.23399997E-03	   1.22149999E-03	   1.20249996E-03	   1.21599995E-03	   1.25049998E-03	   1.19900005E-03	   1.21400005E-03	   1.25099998E-03	   1.22350000E-03
Na21            19553.580        11	   1.70000003E-05	   2.36000007E-04	   7.26500002E-04	   8.95000005E-04	   7.86999997E-04	   1.11449999E-03	   1.71300001E-03	   2.44250009E-03	   3.02949990E-03	   3.43700009E-03	   3.26850009E-03	   2.93649989E-03	   2.42200005E-03	   1.86249998E-03	   1.20449997E-03	   1.18300004E-03	   1.19550002E-03	   1.21050002E-03	   1.17249996E-03	   1.17649999E-03	   1.21200003E-03	   1.23850000E-03	   1.21350004E-03	   1.21250004E-03	   1.17649999E-03	   1.17850001E-03	   1.18450006E-03	   1.17599999E-03	   1.15150004E-03	   1.16200000E-03	   1.15350005E-03	   1.16999994E-03	   1.18999998E-03	   1.19950005E-03	   1.18250004E-03	   1.17950002E-03	   1.18649995E-03	   1.19099999E-03	   1.19900005E-03	   1.20099995E-03	   1.20950001E-03	   1.23599998E-03	   1.21400005E-03	   1.20699999E-03	   1.16300001E-03
Na22            20482.076        11	   4.55000009E-05	   2.31499993E-03	   7.15549989E-03	   7.24649988E-03	   6.41850010E-03	   7.37849995E-03	   9.12650023E-03	   1.04299998E-02	   1.13279996E-02	   1.28894998E-02	   1.32905003E-02	   1.26724998E-02	   1.16555002E-02	   1.03495000E-02	   9.03149974E-03	   8.96649994E-03	   8.87800008E-03	   8.77700001E-03	   8.68599955E-03	   8.57250020E-03	   8.56450014E-03	   8.65850039E-03	   8.39900039E-03	   8.40399973E-03	   8.32199957E-03	   8.25800002E-03	   8.46599974E-03	   8.29700008E-03	   8.36599991E-03	   8.26049969E-03	   8.21399968E-03	   8.14049970E-03	   8.19700025E-03	   8.21099989E-03	   8.07799958E-03	   8.03500041E-03	   8.01699981E-03	   8.11950024E-03	   8.17000028E-03	   8.17599986E-03	   8.08599964E-03	   7.96249975E-03	   8.03750008E-03	   7.93949980E-03	   7.98450038E-03
Na23            21409.223        11	   5.09999991E-05	   4.44799988E-03	   1.17945001E-02	   1.15820002E-02	   1.16689997E-02	   1.38684995E-02	   1.53190000E-02	   1.54259996E-02	   1.55725004E-02	   1.78079996E-02	   1.89334992E-02	   1.77919995E-02	   1.65194999E-02	   1.50145004E-02	   1.32710002E-02	   1.31099997E-02	   1.27924997E-02	   1.27680004E-02	   1.24124996E-02	   1.23669999E-02	   1.21210003E-02	   1.20400004E-02	   1.18699996E-02	   1.18079996E-02	   1.16414996E-02	   1.17849996E-02	   1.17095001E-02	   1.15545001E-02	   1.14650000E-02	   1.13399997E-02	   1.13899997E-02	   1.12154996E-02	   1.13639999E-02	   1.12810005E-02	   1.11490004E-02	   1.11624999E-02	   1.10449996E-02	   1.09620001E-02	   1.10940002E-02	   1.10454997E-02	   1.09590003E-02	   1.10849999E-02	   1.09935002E-02	   1.09850001E-02	   1.08204996E-02
Na24            22341.830        11	   2.15000000E-05	   7.25499995E-04	   1.95450010E-03	   2.39300006E-03	   3.42849991E-03	   4.09700023E-03	   4.44649998E-03	   4.41800011E-03	   4.62849997E-03	   4.74950019E-03	   4.55849990E-03	   4.01649997E-03	   3.48099996E-03	   2.88600009E-03	   2.26500002E-03	   2.21549999E-03	   2.16550007E-03	   2.17900006E-03	   2.13950011E-03	   2.14100000E-03	   2.02849996E-03	   2.06599990E-03	   2.01599998E-03	   2.02100002E-03	   2.00049998E-03	   1.96300005E-03	   1.94700004E-03	   1.98399997E-03	   1.99100003E-03	   1.93549995E-03	   1.87899999E-03	   1.91800005E-03	   1.92099996E-03	   1.81950000E-03	   1.87250006E-03	   1.86049996E-03	   1.84799999E-03	   1.86550000E-03	   1.82999996E-03	   1.87799998E-03	   1.83800003E-03	   1.79550005E-03	   1.83299999E-03	   1.83800003E-03	   1.84299995E-03
Ne20            18617.738        10	   1.43500001E-04	   3.70600005E-03	   1.20925000E-02	   1.35385003E-02	   1.17285000E-02	   1.19434996E-02	   1.27579998E-02	   1.42005002E-02	   1.57539994E-02	   1.95530001E-02	   2.19320003E-02	   2.19164994E-02	   2.07240004E-02	   1.91229992E-02	   1.69610009E-02	   1.65654998E-02	   1.62850004E-02	   1.61090009E-02	   1.60249993E-02	   1.60594992E-02	   1.56695005E-02	   1.54069997E-02	   1.54595003E-02	   1.52864996E-02	   1.54010002E-02	   1.52744995E-02	   1.50875002E-02	   1.50885005E-02	   1.49464998E-02	   1.50769996E-02	   1.49100004E-02	   1.49325002E-02	   1.48130003E-02	   1.47085004E-02	   1.48679996E-02	   1.47000002E-02	   1.46444999E-02	   1.47564998E-02	   1.46089997E-02	   1.47030000E-02	   1.46155003E-02	   1.46944998E-02	   1.45549998E-02	   1.45514999E-02	   1.44725004E-02
Ne21            19550.543        10	   3.70000016E-05	   2.41250009E-03	   8.68200045E-03	   9.60399956E-03	   8.26049969E-03	   8.49500019E-03	   9.56800021E-03	   1.09139998E-02	   1.19869998E-02	   1.47960000E-02	   1.63250007E-02	   1.63764991E-02	   1.52045004E-02	   1.41834999E-02	   1.27064995E-02	   1.23960003E-02	   1.22205000E-02	   1.20545002E-02	   1.18495002E-02	   1.17699997E-02	   1.15970001E-02	   1.16450004E-02	   1.15149999E-02	   1.15179997E-02	   1.13789998E-02	   1.11640003E-02	   1.09684998E-02	   1.12055000E-02	   1.11830002E-02	   1.10440003E-02	   1.07920002E-02	   1.10120000E-02	   1.08575001E-02	   1.09484997E-02	   1.07525000E-02	   1.08289998E-02	   1.07699996E-02	   1.07575003E-02	   1.05529996E-02	   1.06809996E-02	   1.06915003E-02	   1.05825001E-02	   1.06250001E-02	   1.06349997E-02	   1.06309997E-02
Ne22            20479.744        10	   2.15000000E-05	   2.41150009E-03	   7.77400006E-03	   8.46599974E-03	   7.93750025E-03	   9.27949976E-03	   1.06239999E-02	   1.18509997E-02	   1.25280004E-02	   1.46664996E-02	   1.50939999E-02	   1.42825004E-02	   1.29330000E-02	   1.17264995E-02	   9.86099988E-03	   9.78800002E-03	   9.44450032E-03	   9.32500046E-03	   9.18850023E-03	   8.94150045E-03	   8.94299988E-03	   8.89549963E-03	   8.77299998E-03	   8.75749998E-03	   8.68050009E-03	   8.59950017E-03	   8.55849963E-03	   8.44500028E-03	   8.29949975E-03	   8.44699983E-03	   8.35849997E-03	   8.25150032E-03	   8.20699986E-03	   8.25599954E-03	   8.16200022E-03	   8.10800027E-03	   8.07949994E-03	   8.10100045E-03	   7.97449984E-03	   8.05249996E-03	   8.15149955E-03	   8.07000045E-03	   7.93999992E-03	   7.89550040E-03	   8.04550014E-03
neutron           939.566         0	  0.960069001    	   1.38581300    	   1.79932201    	   2.01725841    	   2.20413446    	   2.38416147    	   2.55908203    	   2.72390103    	   2.87615061    	   2.90091395    	   3.22766352    	   3.44671392    	   3.69361544    	   4.02930021    	   4.37920141    	   4.61282206    	   4.82628155    	   5.02803516    	   5.21102762    	   5.38363743    	   5.54538918    	   5.69338989    	   5.83898211    	   5.97003841    	   6.10164070    	   6.21035862    	   6.32554102    	   6.42866659    	   6.52863741    	   6.62672758    	   6.71557379    	   6.79694748    	   6.87722015    	   6.96010923    	   7.03453541    	   7.09829998    	   7.16720247    	   7.23917532    	   7.29787588    	   7.35493612    	   7.41297531    	   7.46447372    	   7.51718330    	   7.57723188    	   7.62875891    
O15             13971.185         8	   1.58499999E-04	   1.71400001E-03	   3.05250008E-03	   4.30499995E-03	   4.25849995E-03	   4.08999994E-03	   3.53350001E-03	   3.15600005E-03	   2.87949992E-03	   2.78749992E-03	   3.24149989E-03	   5.28449984E-03	   6.89300010E-03	   5.66750020E-03	   4.40400001E-03	   4.38649999E-03	   4.45900019E-03	   4.40499978E-03	   4.44350019E-03	   4.29450022E-03	   4.40349989E-03	   4.45149979E-03	   4.37300000E-03	   4.46300022E-03	   4.34450014E-03	   4.36800020E-03	   4.38799988E-03	   4.40199999E-03	   4.38750023E-03	   4.40650014E-03	   4.38449997E-03	   4.46699979E-03	   4.30750009E-03	   4.34949994E-03	   4.36499994E-03	   4.33399994E-03	   4.31199977E-03	   4.39599995E-03	   4.37350012E-03	   4.38599987E-03	   4.39549983E-03	   4.30649985E-03	   4.40699980E-03	   4.27999999E-03	   4.30449983E-03
O16             14895.086         8	   5.21000009E-04	   4.59850021E-03	   1.55809997E-02	   2.07759999E-02	   1.86355002E-02	   1.70074999E-02	   1.56804994E-02	   1.51810003E-02	   1.45995002E-02	   1.71750002E-02	   2.13434994E-02	   2.76124999E-02	   2.99295001E-02	   2.87634991E-02	   2.65845004E-02	   2.63864994E-02	   2.62429994E-02	   2.56919991E-02	   2.56294999E-02	   2.53184997E-02	   2.54560001E-02	   2.48860009E-02	   2.49074996E-02	   2.48550009E-02	   2.45804992E-02	   2.47879997E-02	   2.44350005E-02	   2.43944991E-02	   2.43194997E-02	   2.41115000E-02	   2.40765009E-02	   2.38610003E-02	   2.40959991E-02	   2.39799991E-02	   2.37544999E-02	   2.40224991E-02	   2.39234995E-02	   2.37569995E-02	   2.37125009E-02	   2.35645007E-02	   2.35939994E-02	   2.36419998E-02	   2.35149991E-02	   2.36054994E-02	   2.36795004E-02
O17             15830.509         8	   9.24999986E-05	   9.80500015E-04	   4.21850011E-03	   6.12349994E-03	   5.55650005E-03	   5.15550002E-03	   4.84849978E-03	   4.59800009E-03	   4.49200021E-03	   5.17849997E-03	   6.65599992E-03	   8.27599969E-03	   8.84050038E-03	   8.69399961E-03	   8.19199998E-03	   8.15400016E-03	   8.10499955E-03	   7.86199979E-03	   7.73750013E-03	   7.61099998E-03	   7.68449996E-03	   7.46499980E-03	   7.41600012E-03	   7.46200001E-03	   7.43550016E-03	   7.37049989E-03	   7.36150006E-03	   7.38300011E-03	   7.22299982E-03	   7.20700016E-03	   7.22450018E-03	   7.21850013E-03	   7.14349980E-03	   7.14900019E-03	   7.19199982E-03	   7.07750022E-03	   7.05800019E-03	   7.13950023E-03	   7.02850008E-03	   7.08199991E-03	   7.10749999E-03	   6.86499989E-03	   7.06150010E-03	   7.04800012E-03	   7.00750016E-03
O18             16762.029         8	   2.90000007E-05	   3.48000001E-04	   1.36200001E-03	   1.92099996E-03	   1.95900002E-03	   1.91750005E-03	   1.81050005E-03	   1.91850006E-03	   2.12100009E-03	   2.43099988E-03	   2.84600002E-03	   3.42050008E-03	   3.41450004E-03	   3.11900000E-03	   2.57949997E-03	   2.52350001E-03	   2.48000002E-03	   2.42249994E-03	   2.47099996E-03	   2.36600009E-03	   2.36149994E-03	   2.29449989E-03	   2.27800012E-03	   2.25199992E-03	   2.27800012E-03	   2.25450005E-03	   2.15999992E-03	   2.22950010E-03	   2.19350006E-03	   2.16850010E-03	   2.21750000E-03	   2.16350006E-03	   2.19650008E-03	   2.15349998E-03	   2.15850002E-03	   2.14300002E-03	   2.11449992E-03	   2.16850010E-03	   2.15049996E-03	   2.17900006E-03	   2.08849995E-03	   2.10250006E-03	   2.13150005E-03	   2.15200009E-03	   2.09450000E-03
P29             26988.729        15	   2.80000004E-05	   1.39049999E-03	   2.98450002E-03	   2.88950000E-03	   2.87449989E-03	   2.95550004E-03	   2.95350002E-03	   2.99700000E-03	   2.90700002E-03	   2.94100004E-03	   2.67349998E-03	   2.41849991E-03	   2.11400003E-03	   1.80450000E-03	   1.47300004E-03	   1.46299996E-03	   1.51049998E-03	   1.46199996E-03	   1.46000006E-03	   1.41699996E-03	   1.49000005E-03	   1.48700003E-03	   1.47300004E-03	   1.52100006E-03	   1.47699995E-03	   1.46699999E-03	   1.46800000E-03	   1.49349996E-03	   1.45500002E-03	   1.47549994E-03	   1.47599995E-03	   1.50899997E-03	   1.54700002E-03	   1.50949997E-03	   1.54850003E-03	   1.51300000E-03	   1.50050002E-03	   1.49399997E-03	   1.45300000E-03	   1.49749999E-03	   1.47549994E-03	   1.47300004E-03	   1.47100003E-03	   1.52749999E-03	   1.52649998E-03
P30             27916.973        15	   1.62650004E-03	   2.11635008E-02	   2.20999997E-02	   1.83750000E-02	   1.74359996E-02	   1.70310009E-02	   1.65970009E-02	   1.60214994E-02	   1.61725003E-02	   1.76484995E-02	   1.88849997E-02	   1.83975007E-02	   1.80520006E-02	   1.69834998E-02	   1.60674993E-02	   1.57744996E-02	   1.54935000E-02	   1.52594997E-02	   1.49804996E-02	   1.48635004E-02	   1.48165002E-02	   1.45520000E-02	   1.44880004E-02	   1.44590000E-02	   1.43644996E-02	   1.42679997E-02	   1.40575003E-02	   1.42094996E-02	   1.40429996E-02	   1.39380004E-02	   1.39654996E-02	   1.38074998E-02	   1.38170002E-02	   1.38320001E-02	   1.37870004E-02	   1.36984996E-02	   1.37954997E-02	   1.36364996E-02	   1.36449998E-02	   1.34864999E-02	   1.36005003E-02	   1.34709999E-02	   1.34295002E-02	   1.33999996E-02	   1.33645004E-02
P31             28844.227        15	   4.91099991E-03	   4.30325009E-02	   3.96834984E-02	   3.44390012E-02	   3.26259993E-02	   3.16105001E-02	   3.08500007E-02	   3.03189997E-02	   3.07125002E-02	   3.26284990E-02	   3.44525017E-02	   3.23484987E-02	   3.02990004E-02	   2.81889997E-02	   2.62234993E-02	   2.56120004E-02	   2.48460006E-02	   2.42229998E-02	   2.39870008E-02	   2.35415008E-02	   2.31455006E-02	   2.30515003E-02	   2.24845000E-02	   2.24645007E-02	   2.22644992E-02	   2.19854992E-02	   2.20435001E-02	   2.17185002E-02	   2.16665007E-02	   2.15384997E-02	   2.15134993E-02	   2.12645009E-02	   2.12200005E-02	   2.10155006E-02	   2.10884996E-02	   2.09759995E-02	   2.11369991E-02	   2.08665002E-02	   2.05485001E-02	   2.05700006E-02	   2.05265004E-02	   2.04269998E-02	   2.04680003E-02	   2.04154998E-02	   2.02364996E-02
P32             29775.857        15	   1.20850001E-03	   1.50854997E-02	   1.43355001E-02	   1.31644998E-02	   1.27269998E-02	   1.22974999E-02	   1.16804997E-02	   1.13484999E-02	   1.12065002E-02	   1.18084997E-02	   1.19510004E-02	   1.11590000E-02	   1.01859998E-02	   9.31150001E-03	   8.48650001E-03	   8.22000019E-03	   7.87749980E-03	   7.73799978E-03	   7.60400016E-03	   7.32850004E-03	   7.26250000E-03	   7.20599992E-03	   6.97050011E-03	   6.94399979E-03	   6.89749978E-03	   6.79450016E-03	   6.74449978E-03	   6.70100003E-03	   6.69950014E-03	   6.61050016E-03	   6.65399991E-03	   6.58999989E-03	   6.58900011E-03	   6.44499995E-03	   6.39150012E-03	   6.39300002E-03	   6.49149995E-03	   6.33150013E-03	   6.34900015E-03	   6.35250006E-03	   6.32849988E-03	   6.24450017E-03	   6.34300010E-03	   6.15700008E-03	   6.23300020E-03
P33             30705.318        15	   4.96499997E-04	   5.12900017E-03	   5.13199996E-03	   5.14450017E-03	   5.13549987E-03	   5.16449986E-03	   5.14299981E-03	   4.95300023E-03	   4.78600012E-03	   4.53349994E-03	   4.15899977E-03	   3.69150005E-03	   3.22699989E-03	   2.68899999E-03	   2.31799996E-03	   2.16199993E-03	   2.13150005E-03	   2.04250007E-03	   2.04150006E-03	   1.96300005E-03	   1.92199997E-03	   1.87100004E-03	   1.80850003E-03	   1.81749999E-03	   1.81900000E-03	   1.79100002E-03	   1.79949997E-03	   1.75499998E-03	   1.75499998E-03	   1.75649999E-03	   1.73000002E-03	   1.77099998E-03	   1.71999994E-03	   1.67599996E-03	   1.65600004E-03	   1.70300005E-03	   1.65949995E-03	   1.64699997E-03	   1.64699997E-03	   1.66499999E-03	   1.60650001E-03	   1.62500003E-03	   1.69199996E-03	   1.69049995E-03	   1.66700000E-03
pi-               139.570        -1	   0.00000000    	   0.00000000    	   0.00000000    	   0.00000000    	   0.00000000    	   0.00000000    	   0.00000000    	   0.00000000    	   0.00000000    	   0.00000000    	   9.99999997E-07	   7.00000010E-06	   3.19999999E-05	   6.74999974E-05	   1.93500004E-04	   3.36500001E-04	   5.34499995E-04	   8.59000022E-04	   1.31700002E-03	   1.86950003E-03	   2.70699989E-03	   3.71100008E-03	   4.94399993E-03	   6.35650009E-03	   8.16300046E-03	   1.03420001E-02	   1.25829997E-02	   1.54405003E-02	   1.86135005E-02	   2.18819994E-02	   2.59349998E-02	   3.04675009E-02	   3.45939994E-02	   3.98265012E-02	   4.48504984E-02	   5.06525002E-02	   5.69945015E-02	   6.32785037E-02	   6.96830004E-02	   7.66434968E-02	   8.40834975E-02	   9.14589986E-02	   9.91095006E-02	  0.107287496    	  0.114705503    
pi+               139.570         1	   0.00000000    	   0.00000000    	   0.00000000    	   0.00000000    	   0.00000000    	   0.00000000    	   0.00000000    	   0.00000000    	   0.00000000    	   0.00000000    	   4.99999999E-07	   7.49999981E-06	   2.90000007E-05	   8.55000035E-05	   1.96499997E-04	   3.19000013E-04	   5.60500019E-04	   8.99499981E-04	   1.35399995E-03	   1.98250008E-03	   2.79899989E-03	   3.82749992E-03	   4.95650014E-03	   6.34799991E-03	   8.36199988E-03	   1.03815002E-02	   1.28645003E-02	   1.56625006E-02	   1.86279994E-02	   2.22165007E-02	   2.61624996E-02	   3.01590003E-02	   3.50085013E-02	   4.00060005E-02	   4.52009998E-02	   5.08180000E-02	   5.68899997E-02	   6.33329973E-02	   6.95744976E-02	   7.69195035E-02	   8.37870017E-02	   9.11664963E-02	   9.88679975E-02	  0.106532499    	  0.114704996    
pi0               134.976         0	   0.00000000    	   0.00000000    	   0.00000000    	   0.00000000    	   0.00000000    	   0.00000000    	   0.00000000    	   0.00000000    	   0.00000000    	   0.00000000    	   1.50000005E-06	   6.00000021E-06	   2.70000000E-05	   8.90000010E-05	   1.94499997E-04	   3.58999998E-04	   5.94999990E-04	   9.18500009E-04	   1.45149999E-03	   2.11349991E-03	   3.00849997E-03	   4.02599992E-03	   5.39800012E-03	   7.15149986E-03	   9.22800042E-03	   1.13685001E-02	   1.44199999E-02	   1.75735001E-02	   2.12280005E-02	   2.54629999E-02	   3.00820004E-02	   3.52284983E-02	   4.06799987E-02	   4.63985018E-02	   5.30639999E-02	   6.00369982E-02	   6.74929991E-02	   7.51020014E-02	   8.32754970E-02	   9.19115022E-02	  0.100539498    	  0.110085502    	  0.119740501    	  0.129460007    	  0.139583007    
proton            938.272         1	  1.974985513    	  2.118343097    	  2.770489901    	  2.969718157    	  2.965028623    	  3.373857356    	  3.455800930    	  3.572051082    	  3.838131281    	  3.926187087    	  4.104798053    	  4.731014892    	  5.264155210    	  5.757581709    	  6.294321270    	  6.779320856    	  7.464097496    	  7.538331620    	  7.789443352    	  8.251703140    	  8.481598587    	  8.691776430    	  8.901838741    	  9.084395146    	  9.276542006    	  9.426334427    	  9.588093744    	  9.734836336    	  9.874731338    	  10.006418265    	  10.130502832    	  10.247302946    	  10.353938318    	  10.466263841    	  10.567083951    	  10.654527475    	  10.750924968    	  10.848705514    	  10.925642460    	  11.005074791    	   7.73287964    	   7.77935314    	   7.83080959    	   7.88513470    	   7.93387508    
S31             28849.113        16	   1.70500003E-04	   2.79449997E-03	   3.47499992E-03	   3.28950002E-03	   3.50799994E-03	   3.51700000E-03	   3.57599999E-03	   3.51849990E-03	   3.53599992E-03	   3.36050009E-03	   3.09749995E-03	   2.72600004E-03	   2.38649989E-03	   2.00299989E-03	   1.57500000E-03	   1.59250002E-03	   1.58950000E-03	   1.59400003E-03	   1.59050000E-03	   1.57149998E-03	   1.62300002E-03	   1.62050000E-03	   1.54900004E-03	   1.60399999E-03	   1.61499996E-03	   1.61200005E-03	   1.69700000E-03	   1.58899999E-03	   1.65100000E-03	   1.63149997E-03	   1.65049999E-03	   1.63099996E-03	   1.64549996E-03	   1.66850002E-03	   1.59150001E-03	   1.66349998E-03	   1.63800002E-03	   1.71800004E-03	   1.65200001E-03	   1.68999995E-03	   1.61449995E-03	   1.65200001E-03	   1.66950002E-03	   1.63449999E-03	   1.64150004E-03
